species,chestoberry,choiceband,leftovers,liechiberry,lightball,lumberry,metalpowder,petayaberry,quickclaw,salacberry,souldew,stick,thickclub,twistedspoon,whiteherb
absol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aerodactyl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
aggron,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
aipom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alakazam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
altaria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ampharos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arbok,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
arcanine,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ariados,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
armaldo,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
articuno,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
azumarill,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
banette,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
beautifly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
beedrill,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
bellossom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blastoise,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blaziken,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
blissey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
breloom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
butterfree,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cacturne,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
camerupt,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
castform,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
celebi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
charizard,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
chimecho,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
claydol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clefable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cloyster,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
corsola,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cradily,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crawdaunt,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
crobat,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
delcatty,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
delibird,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deoxys,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
deoxysattack,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
deoxysdefense,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deoxysspeed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dewgong,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ditto,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dodrio,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
donphan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dragonite,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
dugtrio,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
dunsparce,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
dusclops,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dustox,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
electabuzz,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
electrode,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
entei,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
espeon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
exeggutor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
exploud,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
farfetchd,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fearow,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
feraligatr,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
flareon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
flygon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
forretress,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
furret,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
gardevoir,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
gengar,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
girafarig,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
glalie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gligar,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
golduck,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
golem,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gorebyss,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
granbull,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
groudon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
grumpig,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
gyarados,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
